"from_schema";"from_table";"from_col";"to_schema";"to_table";"to_col";"constraint_name"
"partner";"contractor_stage_payment_tab";"position_id";"admin";"position_tab";"position_id";"contractor_stage_payment_tab_fk"
"partner";"contractor_stage_payment_tab";"stage_id";"public";"stage_tab";"stage_id";"contractor_stage_payment_tab_fk1"
"partner";"contractor_team_tab";"employee_id";"admin";"employee_tab";"employee_id";"contractor_team_tab_fk"
"partner";"contractor_team_tab";"remont_id";"public";"remont_tab";"remont_id";"contractor_team_tab_fk1"
"partner";"debt_tab";"team_id";"partner";"team_tab";"team_id";"debt_tab_fk"
"partner";"debt_tab";"employee_id";"admin";"employee_tab";"employee_id";"debt_tab_fk1"
"partner";"debt_tab";"debt_type_id";"partner";"debt_type_tab";"debt_type_id";"debt_tab_fk2"
"partner";"endpoint_stat_tab";"employee_id";"admin";"employee_tab";"employee_id";"endpoint_stat_tab_fk"
"partner";"endpoint_stat_tab";"endpoint_type_id";"partner";"endpoint_type_tab";"endpoint_type_id";"endpoint_stat_tab_fk1"
"partner";"integrated_payment_signed_document_tab";"contractor_cost_id";"partner";"contractor_cost_tab";"contractor_cost_id";"integrated_payment_signed_document_tab_contractor_cost_id_fkey"
"partner";"mobile_notify_tab";"receive_team_master_id";"partner";"team_master_tab";"team_master_id";"mobile_notify_tab_fk"
"partner";"mobile_notify_tab";"remont_id";"public";"remont_tab";"remont_id";"mobile_notify_tab_fk1"
"partner";"mobile_notify_tab";"mobile_notify_type_id";"partner";"mobile_notify_type_tab";"mobile_notify_type_id";"mobile_notify_tab_fk2"
"partner";"mobile_token_tab";"employee_id";"admin";"employee_tab";"employee_id";"mobile_token_tab_fk"
"partner";"tariff_tab";"contractor_main_id";"partner";"contractor_main_tab";"contractor_main_id";"tariff_tab_fk"
"partner";"tariff_tab";"work_id";"partner";"work_tab";"work_id";"tariff_tab_fk1"
"partner";"tariff_tab";"formula_id";"partner";"formula_tab";"formula_id";"tariff_tab_fk2"
"partner";"team_master_document_tab";"employee_id";"admin";"employee_tab";"employee_id";"team_master_document_tab_employee_id_fkey"
"partner";"team_master_document_tab";"team_master_document_type_id";"partner";"team_master_document_type_tab";"team_master_document_type_id";"team_master_document_tab_team_master_document_type_id_fkey"
"partner";"team_master_document_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"team_master_document_tab_team_master_id_fkey"
"partner";"team_master_payment_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"team_master_payment_tab_fk"
"partner";"team_master_payment_tab";"team_master_payment_type_id";"partner";"team_master_payment_type_tab";"team_master_payment_type_id";"team_master_payment_tab_fk1"
"partner";"team_master_payment_tab";"initiator_id";"admin";"employee_tab";"employee_id";"team_master_payment_tab_fk2"
"partner";"team_master_payment_tab";"remont_id";"public";"remont_tab";"remont_id";"team_master_payment_tab_fk3"
"partner";"team_master_payment_tab";"contractor_id";"public";"contractor_tab";"contractor_id";"team_master_payment_tab_fk4"
"partner";"team_master_payment_tab";"contractor_cost_id";"partner";"contractor_cost_tab";"contractor_cost_id";"team_master_payment_tab_fk5"
"partner";"team_master_phone_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"team_master_phone_tab_fk"
"partner";"team_master_speciality_tab";"speciality_id";"public";"speciality_tab";"speciality_id";"team_master_speciality_tab_speciality_id_fkey"
"partner";"team_master_speciality_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"team_master_speciality_tab_team_master_id_fkey"
"partner";"team_master_tab";"team_id";"partner";"team_tab";"team_id";"team_master_tab_fk"
"partner";"team_master_tab";"master_type_id";"public";"master_type_tab";"master_type_id";"team_master_tab_fk1"
"partner";"team_master_tab";"provider_id";"public";"provider_tab";"provider_id";"team_master_tab_fk2"
"partner";"team_tab";"contractor_main_id";"partner";"contractor_main_tab";"contractor_main_id";"team_tab_fk"
"partner";"team_tab";"head_team_employee_id";"admin";"employee_tab";"employee_id";"team_tab_fk1"
"partner";"to_delete__remont_master_tab";"employee_id";"admin";"employee_tab";"employee_id";"remont_master_tab_employee_id_fkey"
"partner";"to_delete__remont_master_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_master_tab_remont_id_fkey"
