"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"public";"buffer_smeta_material_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"buffer_smeta_material_tab";"retail_price";"double precision";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"retail_amount";"double precision";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"param_value";"double precision";null;"YES";"null";"Параметры некоторых материалов (берутся из сметы заявки)"
"public";"buffer_smeta_material_tab";"cnt_delivery";"double precision";null;"YES";"null";"Кол-во в единицах отпуска"
"public";"buffer_smeta_material_tab";"qty_consump";"double precision";null;"YES";"null";"Кол-во в единицах расхода"
"public";"buffer_smeta_material_tab";"qty_sell";"double precision";null;"YES";"null";"Кол-во в единицах продажи"
"public";"buffer_smeta_material_tab";"qty_delivery";"double precision";null;"YES";"null";"Кол-во в единицах отпуска с магазина"
"public";"buffer_smeta_material_tab";"qty_atom";"double precision";null;"NO";"null";"Кол-во в минимальной единице материала"
"public";"buffer_smeta_material_tab";"koef_consump_to_delivery";"double precision";null;"YES";"null";"Сколько единиц расхода в одной единице отпуска"
"public";"buffer_smeta_material_tab";"koef_sell_to_delivery";"double precision";null;"YES";"null";"Сколько единиц продажи в одной единице отпуска"
"public";"buffer_smeta_material_tab";"koef_atom_to_delivery";"double precision";null;"YES";"null";"Сколько единиц минималки в одной единице отпуска"
"public";"buffer_smeta_material_tab";"unit_sell_id";"integer";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"unit_consump_id";"integer";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"unit_delivery_id";"integer";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"unit_atom_id";"integer";null;"YES";"null";"null"
"public";"buffer_smeta_material_tab";"material_unit_id";"integer";null;"NO";"null";"По какой единице измерения создавалась строка"
"public";"buffer_smeta_material_tab";"client_request_id";"integer";null;"NO";"null";"сделать поле not null как разделим со сметой по заявкам"
"public";"buffer_smeta_material_tab";"date_shipping_plan";"date";null;"YES";"null";"null"
"public";"buh_correct_tab";"buh_correct_id";"integer";null;"NO";"nextval('buh_correct_tab_buh_correct_id_seq'::regclass)";"Корректировка долга"
"public";"buh_correct_tab";"bin";"character varying";12;"NO";"null";"null"
"public";"buh_correct_tab";"correct_sum";"double precision";null;"NO";"null";"Плюсовая сумма - поставщик должен SR
Минусовая сумма - долг SR перед поставщиком"
"public";"buh_correct_tab";"correct_date";"date";null;"NO";"null";"null"
"public";"buh_correct_tab";"correct_guid";"character varying";50;"NO";"null";"null"
"public";"buh_correct_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"buh_correct_tab";"contractor_agreement_list_id";"integer";null;"NO";"null";"null"
"public";"buh_manual_operation_tab";"buh_manual_operation_id";"integer";null;"NO";"nextval('buh_manual_operation_tab_buh_manual_operation_id_seq'::regclass)";"Ручные операции в 1С, которые никак не относятся к ремонтам
Например: платежное поручение за аренду, офисные принадлежности, который так же поставляет материалы

или Поступление на адм расходы 
Поступление на шоу рум, где не указан ремонт
Например, шоу рум сдался давно, а расходы сажаются сейчас, или например покупают на шоу рум ложки, вилки, а их у нас в системе SR нет"
"public";"buh_manual_operation_tab";"bin";"character varying";12;"NO";"null";"null"
"public";"buh_manual_operation_tab";"document_sum";"double precision";null;"NO";"null";"null"
"public";"buh_manual_operation_tab";"document_date";"date";null;"NO";"null";"null"
"public";"buh_manual_operation_tab";"document_guid";"character varying";50;"NO";"null";"null"
"public";"buh_manual_operation_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"buh_manual_operation_tab";"document_type";"character varying";null;"YES";"null";"null"
"public";"buh_manual_operation_tab";"is_carried";"integer";null;"NO";"0";"null"
"public";"buh_manual_operation_tab";"document_num";"character varying";50;"YES";"null";"null"
"public";"buh_manual_operation_tab";"is_first_upload";"boolean";null;"NO";"false";"true - первичная загрузка с 1С по excel."
"public";"buh_manual_operation_tab";"agreement_guid";"character varying";50;"NO";"null";"null"
"public";"buh_release_buffer_tab";"release_id";"integer";null;"NO";"null";"null"
"public";"buh_sale_tab";"buh_sale_id";"integer";null;"NO";"nextval('buh_sale_tab_buh_sale_id_seq'::regclass)";"Реализации в 1С"
"public";"buh_sale_tab";"doc_num";"character varying";30;"YES";"null";"null"
"public";"buh_sale_tab";"doc_date";"date";null;"YES";"null";"null"
"public";"buh_sale_tab";"doc_guid";"character varying";50;"YES";"null";"null"
"public";"buh_sale_tab";"org_bin";"character varying";50;"YES";"null";"null"
"public";"buh_sale_tab";"contragent_bin";"character varying";30;"YES";"null";"null"
"public";"buh_sale_tab";"doc_sum";"double precision";null;"YES";"null";"null"
"public";"buh_sale_tab";"release_id";"integer";null;"YES";"null";"null"
"public";"buh_sale_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"buh_sale_tab";"is_carried";"integer";null;"NO";"0";"null"
"public";"buh_sale_tab";"agreement_guid";"character varying";50;"NO";"null";"null"
"public";"builder_preset_price_tab";"builder_preset_price_id";"integer";null;"NO";"nextval(('public.builder_preset_price_tab_builder_preset_id_seq'::text)::regclass)";"Цены пресетов от застройщика"
"public";"builder_preset_price_tab";"preset_id";"integer";null;"NO";"null";"Пресет"
"public";"builder_preset_price_tab";"room_cnt";"integer";null;"NO";"null";"Кол-во комнат"
"public";"builder_preset_price_tab";"builder_preset_price";"double precision";null;"NO";"null";"Цена"
"public";"builder_preset_price_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Версия записи"
"public";"calc_type_tab";"calc_type_id";"integer";null;"NO";"null";"Тип расчёта (по РРЦ или маржа на себес)"
"public";"calc_type_tab";"calc_type_name";"character varying";null;"NO";"null";"null"
"public";"calc_type_tab";"calc_type_code";"character varying";null;"NO";"null";"null"
"public";"calc_type_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"call_check_list_file_tab";"call_check_list_file_id";"integer";null;"NO";"nextval('call_check_list_file_tab_call_check_list_file_id_seq'::regclass)";"null"
"public";"call_check_list_file_tab";"file_url";"character varying";512;"YES";"null";"null"
"public";"call_check_list_file_tab";"file_ext";"character varying";64;"YES";"null";"null"
"public";"call_check_list_file_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"call_check_list_file_tab";"call_check_list_point_id";"integer";null;"NO";"null";"null"
"public";"call_check_list_point_tab";"call_check_list_point_id";"integer";null;"NO";"nextval('call_check_list_point_tab_call_check_list_point_id_seq'::regclass)";"null"
"public";"call_check_list_point_tab";"call_check_list_id";"integer";null;"YES";"null";"null"
"public";"call_check_list_point_tab";"param_geom";"USER-DEFINED";null;"YES";"null";"null"
"public";"call_check_list_point_tab";"is_accepted";"boolean";null;"YES";"null";"null"
"public";"call_check_list_point_tab";"roversion";"timestamp without time zone";null;"YES";"now()";"null"
"public";"call_check_list_tab";"call_check_list_id";"integer";null;"NO";"nextval('call_check_list_tab_call_check_list_id_seq'::regclass)";"null"
"public";"call_check_list_tab";"help_call_id";"integer";null;"NO";"null";"null"
"public";"call_check_list_tab";"check_list_id";"integer";null;"NO";"null";"null"
"public";"call_check_list_tab";"is_accepted";"boolean";null;"NO";"null";"null"
"public";"call_check_list_tab";"comments";"text";null;"YES";"null";"null"
"public";"call_check_list_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"camunda_message_type_tab";"camunda_message_type_id";"integer";null;"NO";"nextval('camunda_message_type_tab_camunda_message_type_id_seq'::regclass)";"null"
"public";"camunda_message_type_tab";"camunda_message_type_pid";"integer";null;"YES";"null";"null"
"public";"camunda_message_type_tab";"message_type_name";"character varying";100;"NO";"null";"Наименование типа сообщения"
"public";"camunda_message_type_tab";"message_type_code";"character varying";40;"YES";"null";"Код типа сообщения"
"public";"camunda_message_type_tab";"order_num";"integer";null;"NO";"null";"null"
"public";"camunda_message_type_tab";"is_check_subscribe";"integer";null;"NO";"1";"Проверка на присутствие в системе email"
"public";"camunda_notification_tab";"camunda_notification_id";"integer";null;"NO";"nextval('camunda_notification_tab_camunda_notification_id_seq'::regclass)";"null"
"public";"camunda_notification_tab";"employee_id";"integer";null;"YES";"null";"null"
"public";"camunda_notification_tab";"email";"character varying";1 000;"NO";"null";"null"
"public";"camunda_notification_tab";"what";"character varying";100;"NO";"null";"null"
"public";"camunda_notification_tab";"is_send";"integer";null;"YES";"0";"null"
"public";"camunda_notification_tab";"email_content";"text";null;"YES";"null";"null"
"public";"camunda_notification_tab";"email_title";"character varying";300;"NO";"null";"null"
"public";"camunda_notification_tab";"date_send";"timestamp without time zone";null;"YES";"null";"null"
"public";"camunda_notification_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"camunda_notification_tab";"message_id";"character varying";100;"YES";"null";"null"
"public";"camunda_notification_tab";"status";"character varying";100;"YES";"null";"null"
"public";"camunda_notification_tab";"error";"text";null;"YES";"null";"null"
"public";"camunda_notification_tab";"camunda_message_type_id";"integer";null;"NO";"null";"null"
"public";"camunda_resident_tab";"camunda_resident_id";"integer";null;"NO";"nextval('camunda_resident_tab_camunda_resident_id_seq'::regclass)";"Список ЖК работающих через камунду"
"public";"camunda_resident_tab";"resident_id";"integer";null;"NO";"null";"null"
"public";"camunda_resident_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"canceled_client_request_tab";"canceled_client_request_id";"integer";null;"NO";"nextval('canceled_client_request_tab_canceled_client_request_id_seq'::regclass)";"null"
"public";"canceled_client_request_tab";"client_request_id";"integer";null;"YES";"null";"null"
"public";"canceled_client_request_tab";"crm_deal_id";"integer";null;"YES";"null";"null"
"public";"canceled_client_request_tab";"client_request_status_old_id";"integer";null;"YES";"null";"null"
"public";"canceled_client_request_tab";"employee_id";"integer";null;"YES";"null";"null"
"public";"canceled_client_request_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"canceled_client_request_tab";"crm_status_id";"integer";null;"YES";"null";"null"
"public";"characteristic_item_tab";"characteristic_item_id";"integer";null;"NO";"nextval('characteristic_item_tab_characteristic_item_id_seq'::regclass)";"null"
"public";"characteristic_item_tab";"characteristic_id";"integer";null;"YES";"null";"null"
"public";"characteristic_item_tab";"characteristic_item_name";"character varying";null;"YES";"null";"null"
"public";"characteristic_item_tab";"characteristic_item_code";"character varying";null;"YES";"null";"null"
"public";"characteristic_item_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"characteristic_tab";"characteristic_id";"integer";null;"NO";"nextval('characteristic_tab_characteristic_id_seq'::regclass)";"null"
"public";"characteristic_tab";"characteristic_name";"character varying";null;"YES";"null";"null"
"public";"characteristic_tab";"characteristic_code";"character varying";null;"YES";"null";"null"
"public";"characteristic_tab";"is_active";"integer";null;"NO";"1";"null"
"public";"characteristic_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"characteristic_tab";"product_category_id";"integer";null;"YES";"null";"null"
"public";"chat_message_type_tab";"chat_message_type_id";"integer";null;"NO";"nextval(('public.chat_message_type_tab_chat_message_type_id_seq'::text)::regclass)";"Таблица типов сообщении в чате"
"public";"chat_message_type_tab";"chat_message_type_name";"character varying";100;"NO";"null";"Наименование"
"public";"chat_message_type_tab";"chat_message_type_code";"character varying";50;"NO";"null";"Код"
"public";"chat_message_type_tab";"is_active";"integer";null;"NO";"1";"Признак активности"
"public";"chat_message_type_tab";"is_client";"integer";null;"NO";"0";"Показать у клиента"
"public";"chat_message_type_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"chat_message_type_tab";"description";"text";null;"YES";"null";"Описание типа сообщения, которое отображается сверху чата, при его выборе."
"public";"chat_message_type_tab";"order_num";"integer";null;"YES";"null";"Порядок сортироваки"
"public";"chat_message_type_tab";"country_id";"integer";null;"YES";"null";"Тип сообщении по странам"
"public";"check_list_standart_tab";"check_list_standart_id";"integer";null;"NO";"nextval(('public.check_list_standart_tab_check_list_standart_id_seq'::text)::regclass)";"null"
"public";"check_list_standart_tab";"check_list_id";"integer";null;"NO";"null";"null"
"public";"check_list_standart_tab";"photo_url";"character varying";250;"NO";"null";"null"
"public";"check_list_standart_tab";"photo_comment";"text";null;"YES";"null";"null"
"public";"check_list_standart_tab";"title";"character varying";100;"NO";"null";"null"
"public";"check_list_standart_tab";"is_good";"integer";null;"NO";"1";"1 - Стандарт по принятию
0 - Как лучше не делать."
"public";"check_list_standart_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"check_list_tab";"check_list_id";"integer";null;"NO";"nextval('check_list_tab_check_list_id_seq'::regclass)";"null"
"public";"check_list_tab";"check_list_pid";"integer";null;"YES";"null";"null"
"public";"check_list_tab";"stage_id";"integer";null;"NO";"null";"null"
"public";"check_list_tab";"check_name";"character varying";500;"NO";"null";"null"
"public";"check_list_tab";"norm";"character varying";20;"YES";"null";"Допустимая норма - информационное поле"
"public";"check_list_tab";"is_room";"integer";null;"NO";"1";"Признак - нужно ли по пункту указать комнату или пункт не относится к конкретной комнате"
"public";"check_list_tab";"is_active";"integer";null;"NO";"1";"null"
"public";"check_list_tab";"master_type_id";"integer";null;"YES";"null";"Специализация, которая выполняет этот чек лист"
"public";"check_list_tab";"is_correction_penalty";"integer";null;"NO";"1";"1 исправление
0 штраф"
"public";"check_list_tab";"is_okk_manager";"integer";null;"NO";"1";"1 OKK
0 Менеджер проекта"
"public";"check_list_tab";"sum_penalty";"double precision";null;"YES";"null";"сумма штрафа"
"public";"check_list_tab";"is_affect_warranty";"integer";null;"NO";"1";"1 Да
0 Нет"
"public";"check_list_tab";"is_required";"integer";null;"NO";"0";"признак Обязательный или нет
1 - да
0 - нет"
"public";"cleaning_tab";"cleaning_id";"integer";null;"NO";"nextval('cleaning_tab_cleaning_id_seq'::regclass)";"null"
"public";"cleaning_tab";"cleaning_name";"character varying";200;"NO";"null";"Наименование"
"public";"cleaning_tab";"legal_name";"character varying";200;"YES";"null";"юридическое наименование"
"public";"cleaning_tab";"bin";"character varying";50;"YES";"null";"БИН"
"public";"cleaning_tab";"bik";"character varying";50;"YES";"null";"БИК"
"public";"cleaning_tab";"iik";"character varying";50;"YES";"null";"ИИК"
"public";"cleaning_tab";"kbe";"character varying";20;"YES";"null";"КБе"
"public";"cleaning_tab";"bank_name";"character varying";200;"YES";"null";"Название банка"
"public";"cleaning_tab";"city_id";"integer";null;"NO";"1";"Город"
"public";"cleaning_tab";"is_send_to_1c";"integer";null;"NO";"0";"0 - еще не отправлен в 1С
1 - готов к отправке
2 - отпралвен в 1С"
"public";"cleaning_tab";"phone";"character varying";20;"YES";"null";"Телефон"
"public";"cleaning_tab";"email";"character varying";100;"YES";"null";"Почта"
"public";"cleaning_tab";"guid";"character varying";100;"YES";"null";"ГУИД"
"public";"cleaning_tab";"address";"text";null;"YES";"null";"Адрес"
"public";"cleaning_tab";"director_fio";"character varying";100;"YES";"null";"ФИО Директора"
"public";"cleaning_tab";"contract_text";"text";null;"YES";"null";"Текст для договора"
"public";"cleaning_tab";"contragent_type_id";"integer";null;"YES";"null";"Тип контрагента"
"public";"cleaning_tab";"agreement_num";"integer";null;"YES";"null";"Номер договора"
"public";"cleaning_tab";"agreement_date";"date";null;"YES";"null";"Дата договора"
"public";"client_1c_status_tab";"client_1c_status_id";"integer";null;"NO";"null";"Статусы по клиентам присланным из 1С"
"public";"client_1c_status_tab";"status_code";"character varying";50;"NO";"null";"код статуса"
"public";"client_1c_status_tab";"status_name";"character varying";100;"NO";"null";"название статуса"
"public";"client_1c_tab";"client_1c_id";"integer";null;"NO";"nextval('client_1c_tab_client_1c_id_seq'::regclass)";"null"
"public";"client_1c_tab";"guid";"character varying";100;"YES";"null";"null"
"public";"client_1c_tab";"client_fio";"character varying";100;"YES";"null";"ФИО"
"public";"client_1c_tab";"client_iin";"character varying";12;"YES";"null";"ИИН"
"public";"client_1c_tab";"client_status_id";"integer";null;"NO";"1";"Статус клиента"
"public";"client_1c_tab";"client_type";"integer";null;"NO";"null";"Тип клиента, 1 - контрагент, 0 - клиент без данных"
"public";"client_1c_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата создания записи"
"public";"client_1c_tab";"client_phone";"character varying";500;"YES";"null";"Телефон клиента"
"public";"client_1c_tab";"visit_date";"timestamp without time zone";null;"YES";"null";"Дата посещения"
"public";"client_1c_tab";"hunter_fio";"character varying";100;"YES";"null";"Имя хантера (кто отправил)"
"public";"client_1c_tab";"contract_signer_id";"integer";null;"YES";"null";"Менеджер(подписант)"
"public";"client_1c_tab";"hunter_guid";"character varying";100;"YES";"null";"ГУИД хантера"
"public";"client_1c_tab";"comments";"text";null;"YES";"null";"Комментарий"
"public";"client_doc_check_tab";"client_doc_check_id";"integer";null;"NO";"null";"Чек листы клиента в разных документах (пока АПП клиента)"
"public";"client_doc_check_tab";"client_doc_check_type";"character varying";10;"NO";"'CLIENT_APP'::character varying";"null"
"public";"client_doc_check_tab";"client_doc_check_pid";"integer";null;"YES";"null";"null"
"public";"client_doc_check_tab";"client_doc_check_name";"character varying";255;"YES";"null";"null"
"public";"client_doc_check_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_file_tab";"client_file_id";"integer";null;"NO";"nextval('client_file_tab_client_file_id_seq'::regclass)";"null"
"public";"client_file_tab";"client_id";"integer";null;"NO";"null";"null"
"public";"client_file_tab";"client_file_name";"character varying";null;"YES";"null";"null"
"public";"client_file_tab";"client_file_url";"text";null;"YES";"null";"null"
"public";"client_file_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_history_tab";"client_history_id";"integer";null;"NO";"nextval('client_histrory_tab_client_history_id_seq'::regclass)";"null"
"public";"client_history_tab";"client_request_id";"integer";null;"NO";"null";"null"
"public";"client_history_tab";"client_id";"integer";null;"YES";"null";"null"
"public";"client_history_tab";"prop_fio";"character varying";250;"NO";"null";"null"
"public";"client_history_tab";"prop_iin";"character varying";50;"NO";"null";"null"
"public";"client_history_tab";"prop_doc_num";"character varying";50;"YES";"null";"Номер уд.личности"
"public";"client_history_tab";"prop_doc_issued";"character varying";250;"YES";"null";"Кем выдано"
"public";"client_history_tab";"prop_address";"text";null;"YES";"null";"null"
"public";"client_history_tab";"prop_phone";"character varying";500;"NO";"null";"null"
"public";"client_history_tab";"prop_contact_fio";"character varying";250;"YES";"null";"ФИО контактного лица"
"public";"client_history_tab";"prop_contact_phone";"character varying";500;"YES";"null";"Номер контактного лица"
"public";"client_history_tab";"prop_doc_date";"date";null;"YES";"null";"Дата выдачи уд.личности"
"public";"client_history_tab";"prop_district";"character varying";250;"YES";"null";"Район"
"public";"client_history_tab";"account_bank_name";"character varying";200;"YES";"null";"null"
"public";"client_history_tab";"account_bin";"character varying";50;"YES";"null";"null"
"public";"client_history_tab";"account_bik";"character varying";50;"YES";"null";"null"
"public";"client_history_tab";"account_iik";"character varying";50;"YES";"null";"null"
"public";"client_history_tab";"email";"character varying";250;"YES";"null";"null"
"public";"client_history_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_kitchen_tab";"client_kitchen_id";"integer";null;"NO";"nextval('client_kitchen_tab_client_kitchen_id_seq'::regclass)";"null"
"public";"client_kitchen_tab";"client_request_id";"integer";null;"YES";"null";"null"
"public";"client_kitchen_tab";"product_id";"integer";null;"YES";"null";"null"
"public";"client_kitchen_tab";"kitchen_id";"character varying";null;"YES";"null";"null"
"public";"client_kitchen_tab";"kitchen_name";"character varying";null;"YES";"null";"null"
"public";"client_kitchen_tab";"kitchen_price";"double precision";null;"YES";"null";"null"
"public";"client_kitchen_tab";"kitchen_cnt";"integer";null;"YES";"null";"null"
"public";"client_kitchen_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_kitchen_tab";"sink_name";"character varying";null;"YES";"null";"null"
"public";"client_kitchen_tab";"sink_price";"double precision";null;"YES";"null";"null"
"public";"client_kitchen_tab";"mixer_name";"character varying";null;"YES";"null";"null"
"public";"client_kitchen_tab";"mixer_price";"double precision";null;"YES";"null";"null"
"public";"client_login_tab";"client_login_id";"integer";null;"NO";"nextval('client_login_tab_client_login_id_seq'::regclass)";"null"
"public";"client_login_tab";"phone_number";"character varying";500;"NO";"null";"null"
"public";"client_login_tab";"password";"character varying";50;"NO";"null";"null"
"public";"client_login_tab";"last_login";"timestamp without time zone";null;"YES";"null";"null"
"public";"client_login_tab";"send_sms_cnt";"integer";null;"YES";"null";"null"
"public";"client_login_tab";"last_send_sms_date";"timestamp without time zone";null;"YES";"null";"null"
"public";"client_login_tab";"sms_code";"character varying";100;"YES";"null";"null"
"public";"client_login_tab";"sms_id";"character varying";100;"YES";"null";"null"
"public";"client_login_tab";"try_cnt";"integer";null;"YES";"null";"null"
"public";"client_login_tab";"is_superuser";"boolean";null;"YES";"false";"null"
"public";"client_material_abs_tab";"client_material_abs_id";"integer";null;"NO";"nextval('client_material_abs_tab_client_material_abs_id_seq'::regclass)";"null"
"public";"client_material_abs_tab";"client_material_id";"integer";null;"NO";"null";"null"
"public";"client_material_abs_tab";"abs_material_id";"integer";null;"NO";"null";"null"
"public";"client_material_abs_tab";"abs_material_cnt";"double precision";null;"NO";"null";"null"
"public";"client_material_abs_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_material_set_item_tab";"client_material_set_item_id";"integer";null;"NO";"nextval('client_material_set_item_tab_client_material_set_item_id_seq'::regclass)";"null"
"public";"client_material_set_item_tab";"client_material_id";"integer";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"material_id";"integer";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"material_set_id";"integer";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"material_cnt";"double precision";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_material_set_item_tab";"formula";"character varying";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"consumption";"double precision";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"formula_result";"double precision";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"material_cnt_pieces";"double precision";null;"YES";"null";"null"
"public";"client_material_set_item_tab";"material_cnt_standard";"double precision";null;"YES";"null";"null"
"public";"client_material_tab";"client_material_id";"integer";null;"NO";"nextval('client_material_tab_client_material_id_seq'::regclass)";"null"
"public";"client_material_tab";"material_id";"integer";null;"NO";"null";"null"
"public";"client_material_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_material_tab";"material_set_id";"integer";null;"YES";"null";"Клиент выбрав один материал, может выбрать набор"
"public";"client_material_tab";"is_optional";"integer";null;"NO";"0";"Признак опционального материала в выборе клиента"
"public";"client_material_tab";"ds_wset_id";"integer";null;"YES";"null";"Из какой доп работы создан материал (для отмены ДС)"
"public";"client_material_tab";"client_request_id";"integer";null;"NO";"null";"null"
"public";"client_material_tab";"room_id";"integer";null;"NO";"null";"null"
"public";"client_material_tab";"work_set_id";"integer";null;"NO";"null";"null"
"public";"client_material_tab";"material_cnt";"double precision";null;"YES";"null";"Количество материала"
"public";"client_material_tab";"formula_material";"character varying";null;"YES";"null";"Формула, взятая с основного материала"
"public";"client_material_tab";"consumption_material";"double precision";null;"YES";"null";"Норма расхода, взятая с основного материала"
"public";"client_material_tab";"formula_material_result";"double precision";null;"YES";"null";"Результат формулы (formula_material), взятой из основного материала"
"public";"client_material_tab";"work_set_cnt";"double precision";null;"YES";"null";"Кол-во (объем работ) конструктива"
"public";"client_material_tab";"material_cnt_pieces";"double precision";null;"YES";"null";"null"
"public";"client_material_tab";"material_cnt_standard";"double precision";null;"YES";"null";"Записываем сюда число по стандарту (изначально такое же число, которым заполняется поле material_cnt), и это число не меняется, но используется для вычисления стоимости ДС (Изменение ТК)"
"public";"client_material_tab";"preset_material_type";"USER-DEFINED";null;"NO";"'DISPLAY_AND_SELL'::preset_material_type";"null"
"public";"client_material_tab";"calc_type_id";"integer";null;"NO";"1";"null"
"public";"client_material_tab";"material_usage_type_id";"integer";null;"NO";"1";"null"
"public";"client_material_tab";"preset_material_price";"double precision";null;"YES";"null";"Цена материала пресета (в случае наполнения)"
"public";"client_message_tab";"client_message_id";"integer";null;"NO";"nextval(('public.client_message_tab_client_messaqe_id_seq'::text)::regclass)";"null"
"public";"client_message_tab";"fio";"character varying";30;"YES";"null";"ФИО клиента"
"public";"client_message_tab";"email";"character varying";30;"YES";"null";"email клиента"
"public";"client_message_tab";"phone";"character varying";30;"NO";"null";"Телефон клиента"
"public";"client_message_tab";"message";"text";null;"YES";"null";"Текст сообщения"
"public";"client_message_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Время записи"
"public";"client_message_tab";"is_processed";"integer";null;"NO";"0";"Обработано или нет"
"public";"client_message_tab";"processed_date";"timestamp without time zone";null;"YES";"null";"Дата и время обработки"
"public";"client_message_tab";"employee_id";"integer";null;"YES";"null";"Кто обработал"
"public";"client_message_tab";"resident_name";"character varying";300;"YES";"null";"Название ЖК"
"public";"client_message_tab";"planirovka_info";"text";null;"YES";"null";"Информация о планировке"
"public";"client_message_tab";"what";"character varying";100;"YES";"null";"Тип запроса на добавление"
"public";"client_payment_delete_request_tab";"client_payment_delete_request_id";"integer";null;"NO";"nextval('client_payment_delete_request_client_payment_delete_request_seq'::regclass)";"null"
"public";"client_payment_delete_request_tab";"client_request_payment_id";"integer";null;"NO";"null";"Платеж на удаление"
"public";"client_payment_delete_request_tab";"payment_amount";"double precision";null;"NO";"null";"Сумма платежа"
"public";"client_payment_delete_request_tab";"payment_date";"date";null;"NO";"null";"Дата платежа"
"public";"client_payment_delete_request_tab";"initiator_employee_id";"integer";null;"NO";"null";"Инициатор"
"public";"client_payment_delete_request_tab";"comments";"text";null;"YES";"null";"Комментарии"
"public";"client_payment_delete_request_tab";"is_deleted";"integer";null;"NO";"0";"Признак удаления (0  - не удален, 1 удален)"
"public";"client_payment_delete_request_tab";"document_name";"character varying";200;"YES";"null";"Название документа доп соглашения"
"public";"client_payment_delete_request_tab";"document_url";"character varying";500;"YES";"null";"Путь к документу"
"public";"client_payment_delete_request_tab";"employee_id";"integer";null;"YES";"null";"Кто удалил"
"public";"client_payment_delete_request_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время создания"
"public";"client_payment_delete_request_tab";"client_request_document_id";"integer";null;"YES";"null";"ID документа"
"public";"client_product_set_item_tab";"client_product_set_item_id";"integer";null;"NO";"nextval('client_product_set_item_tab_client_product_set_item_id_seq'::regclass)";"Продукты внутри пакета"
"public";"client_product_set_item_tab";"client_product_set_id";"integer";null;"NO";"null";"Пакет"
"public";"client_product_set_item_tab";"product_id";"integer";null;"NO";"null";"null"
"public";"client_product_set_item_tab";"product_price";"double precision";null;"NO";"null";"По какой цене купили продукт"
"public";"client_product_set_item_tab";"product_cnt";"integer";null;"NO";"1";"Кол-во выбранных материалов внутри пакета (например, могут выбрать 12 стульев вместо стандартных 6)."
"public";"client_product_set_item_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"public";"client_product_set_item_tab";"smartremont_price";"double precision";null;"YES";"null";"По какой цене был закуп для Smart Remont"
"public";"client_product_set_item_tab";"provider_price";"double precision";null;"YES";"null";"Цена РРЦ"
"public";"client_product_set_tab";"client_product_set_id";"integer";null;"NO";"nextval('client_product_set_tab_client_product_set_id_seq'::regclass)";"Пакетное предложение в заявке"
"public";"client_product_set_tab";"client_request_id";"integer";null;"NO";"null";"null"
"public";"client_product_set_tab";"product_set_id";"integer";null;"NO";"null";"Пакет"
"public";"client_product_set_tab";"product_set_price";"double precision";null;"NO";"null";"Цена за один пакет со скидкой для клиента"
